b'Day;Time;Crossroad;Sensor;Interval;Load;Count\r
10.06.2019;02:59;A  1;1;1;0;0\r
10.06.2019;02:59;A  1;2;1;0;0\r
10.06.2019;02:59;A  1;3;1;1;1\r
10.06.2019;02:59;A  1;4;1;2;1\r
10.06.2019;02:59;A  1;5;1;2;1\r
10.06.2019;02:59;A  1;6;1;0;0\r
10.06.2019;02:59;A  1;7;1;13;0\r
10.06.2019;02:59;A  1;8;1;0;0\r
10.06.2019;02:59;A  1;9;1;0;0\r
10.06.2019;02:59;A  1;10;1;2;1\r
10.06.2019;02:59;A  1;11;1;4;3\r
10.06.2019;02:59;A  1;12;1;0;0\r
10.06.2019;02:59;A  1;13;1;0;0\r
10.06.2019;02:59;A  1;14;1;0;0\r
10.06.2019;02:59;A  1;15;1;0;0\r
10.06.2019;02:59;A  1;16;1;0;0\r
10.06.2019;02:59;A  1;17;1;0;0\r
10.06.2019;02:59;A  1;18;1;0;0\r
10.06.2019;02:59;A  1;19;1;0;0\r
10.06.2019;02:59;A  1;20;1;0;0\r
10.06.2019;02:59;A  1;21;1;0;0\r
10.06.2019;02:59;A  1;22;1;0;0\r
10.06.2019;02:59;A  1;23;1;0;0\r
10.06.2019;02:59;A  1;24;1;0;0\r
10.06.2019;02:59;A  1;25;1;0;0\r
10.06.2019;02:59;A  2;1;1;0;0\r
10.06.2019;02:59;A  2;2;1;0;0\r
10.06.2019;02:59;A  2;3;1;0;0\r
10.06.2019;02:59;A  2;4;1;0;0\r
10.06.2019;02:59;A  2;5;1;0;0\r
10.06.2019;02:59;A  2;6;1;0;0\r
10.06.2019;02:59;A  2;7;1;0;0\r
10.06.2019;02:59;A  2;8;1;3;1\r
10.06.2019;02:59;A  2;9;1;1;1\r
10.06.2019;02:59;A  2;10;1;1;1\r
10.06.2019;02:59;A  2;11;1;1;2\r
10.06.2019;02:59;A  2;12;1;0;1\r
10.06.2019;02:59;A  2;13;1;0;0\r
10.06.2019;02:59;A  2;14;1;0;0\r
10.06.2019;02:59;A  2;15;1;0;0\r
10.06.2019;02:59;A  2;16;1;0;0\r
10.06.2019;02:59;A  2;17;1;0;0\r
10.06.2019;02:59;A  2;18;1;0;0\r
10.06.2019;02:59;A  2;19;1;0;0\r
10.06.2019;02:59;A  2;20;1;0;0\r
10.06.2019;02:59;A  2;21;1;0;0\r
10.06.2019;02:59;A  2;22;1;0;0\r
10.06.2019;02:59;A  2;23;1;0;0\r
10.06.2019;02:59;A  2;24;1;0;0\r
10.06.2019;02:59;A  2;25;1;0;0\r
10.06.2019;02:59;A  2;26;1;0;0\r
10.06.2019;02:59;A  3;1;1;0;0\r
10.06.2019;02:59;A  3;2;1;0;0\r
10.06.2019;02:59;A  3;3;1;0;0\r
10.06.2019;02:59;A  3;4;1;0;0\r
10.06.2019;02:59;A  3;5;1;0;0\r
10.06.2019;02:59;A  3;6;1;0;0\r
10.06.2019;02:59;A  3;7;1;0;0\r
10.06.2019;02:59;A  3;8;1;0;0\r
10.06.2019;02:59;A  3;9;1;0;0\r
10.06.2019;02:59;A  3;10;1;0;0\r
10.06.2019;02:59;A  3;11;1;1;1\r
10.06.2019;02:59;A  3;12;1;0;0\r
10.06.2019;02:59;A  3;13;1;0;0\r
10.06.2019;02:59;A  3;14;1;0;0\r
10.06.2019;02:59;A  3;15;1;0;0\r
10.06.2019;02:59;A  3;16;1;0;0\r
10.06.2019;02:59;A  3;17;1;0;0\r
10.06.2019;02:59;A  3;18;1;0;0\r
10.06.2019;02:59;A  3;19;1;0;0\r
10.06.2019;02:59;A  3;20;1;0;0\r
10.06.2019;02:59;A  3;21;1;0;0\r
10.06.2019;02:59;A  3;22;1;0;0\r
10.06.2019;02:59;A  3;23;1;0;0\r
10.06.2019;02:59;A  3;24;1;0;0\r
10.06.2019;02:59;A  3;25;1;0;0\r
10.06.2019;02:59;A  3;26;1;0;0\r
10.06.2019;02:59;A  3;27;1;0;0\r
10.06.2019;02:59;A  3;28;1;0;0\r
10.06.2019;02:59;A  3;29;1;0;0\r
10.06.2019;02:59;A  3;30;1;0;0\r
10.06.2019;02:59;A  3;31;1;0;0\r
10.06.2019;02:59;A  4;1;1;0;0\r
10.06.2019;02:59;A  4;2;1;0;1\r
10.06.2019;02:59;A  4;3;1;25;1\r
10.06.2019;02:59;A  4;4;1;0;1\r
10.06.2019;02:59;A  4;5;1;1;1\r
10.06.2019;02:59;A  4;6;1;6;1\r
10.06.2019;02:59;A  4;7;1;14;2\r
10.06.2019;02:59;A  4;8;1;0;0\r
10.06.2019;02:59;A  4;9;1;0;0\r
10.06.2019;02:59;A  4;10;1;7;1\r
10.06.2019;02:59;A  4;11;1;0;0\r
10.06.2019;02:59;A  4;12;1;0;0\r
10.06.2019;02:59;A  4;13;1;0;0\r
10.06.2019;02:59;A  4;14;1;0;0\r
10.06.2019;02:59;A  4;15;1;0;0\r
10.06.2019;02:59;A  4;16;1;0;0\r
10.06.2019;02:59;A  4;17;1;0;0\r
10.06.2019;02:59;A  4;18;1;0;0\r
10.06.2019;02:59;A  4;19;1;0;0\r
10.06.2019;02:59;A  4;20;1;0;0\r
10.06.2019;02:59;A  4;21;1;0;0\r
10.06.2019;02:59;A  4;22;1;0;0\r
10.06.2019;02:59;A  4;23;1;0;0\r
10.06.2019;02:59;A  4;24;1;0;0\r
10.06.2019;02:59;A  4;25;1;0;0\r
10.06.2019;02:59;A  4;26;1;3;1\r
10.06.2019;02:59;A  4;27;1;2;1\r
10.06.2019;02:59;A  4;28;1;0;0\r
10.06.2019;02:59;A  4;29;1;1;1\r
10.06.2019;02:59;A  4;30;1;0;0\r
10.06.2019;02:59;A  4;32;1;6;2\r
10.06.2019;02:59;A  4;33;1;6;2\r
10.06.2019;02:59;A  4;34;1;0;0\r
10.06.2019;02:59;A  4;35;1;0;0\r
10.06.2019;02:59;A  4;36;1;0;0\r
10.06.2019;02:59;A  4;37;1;0;0\r
10.06.2019;02:59;A  4;38;1;0;0\r
10.06.2019;02:59;A  4;39;1;0;0\r
10.06.2019;02:59;A  4;40;1;0;0\r
10.06.2019;02:59;A  4;41;1;0;0\r
10.06.2019;02:59;A  4;42;1;0;0\r
10.06.2019;02:59;A  4;43;1;0;0\r
10.06.2019;02:59;A  4;44;1;0;0\r
10.06.2019;02:59;A  5;1;1;0;0\r
10.06.2019;02:59;A  5;2;1;0;0\r
10.06.2019;02:59;A  5;3;1;5;1\r
10.06.2019;02:59;A  5;4;1;100;0\r
10.06.2019;02:59;A  5;5;1;100;0\r
10.06.2019;02:59;A  5;6;1;0;0\r
10.06.2019;02:59;A  5;7;1;2;1\r
10.06.2019;02:59;A  5;8;1;0;0\r
10.06.2019;02:59;A  5;9;1;2;1\r
10.06.2019;02:59;A  5;11;1;0;0\r
10.06.2019;02:59;A  5;12;1;0;0\r
10.06.2019;02:59;A  5;14;1;0;0\r
10.06.2019;02:59;A  5;28;1;0;0\r
10.06.2019;02:59;A  5;29;1;0;0\r
10.06.2019;02:59;A  5;30;1;0;0\r
10.06.2019;02:59;A  5;31;1;0;0\r
10.06.2019;02:59;A  5;32;1;0;0\r
10.06.2019;02:59;A  6;1;1;0;0\r
10.06.2019;02:59;A  6;2;1;0;1\r
10.06.2019;02:59;A  6;3;1;0;0\r
