Latitude,Longitude
49.8687,8.68356
49.8688,8.68368
49.8688,8.68378
49.8688,8.68385
49.8688,8.68394
49.8688,8.68402
49.8688,8.68409
49.8688,8.68417
49.8687,8.68426
49.8685,8.6845
49.8685,8.6846
49.8684,8.68465
49.8946,8.6775
49.8947,8.67782
49.8948,8.67836
49.8949,8.67954
49.8951,8.68032
49.8952,8.6812
49.8952,8.6813
49.8961,8.68792
49.896,8.68749
49.896,8.68642
49.896,8.68636
49.8959,8.68618
49.8702,8.63305
49.8701,8.63307
49.8699,8.63317
49.8696,8.63328
49.8741,8.65616
49.8743,8.65617
49.8743,8.65618
49.8744,8.65621
49.8745,8.65624
49.8745,8.65625
49.8745,8.65634
49.8746,8.65657
49.8747,8.64126
49.8747,8.64127
49.8746,8.6413
49.8746,8.64131
49.8743,8.64141
49.8743,8.64142
49.8741,8.64146
49.874,8.64147
49.8739,8.64145
49.8738,8.64142
49.8831,8.63859
49.883,8.6385
49.883,8.63848
49.8828,8.63821
49.8825,8.63773
49.8822,8.63738
49.8821,8.63726
49.882,8.63715
49.8818,8.63703
49.8802,8.63613
49.8799,8.6359
49.8758,8.616
49.8758,8.61606
49.8759,8.61614
49.8759,8.61622
49.8759,8.6163
49.8759,8.61649
49.8759,8.61674
49.8759,8.61688
49.8759,8.617
49.8864,8.62283
49.8862,8.62315
49.876,8.65062
49.8761,8.65058
49.8765,8.65046
49.8766,8.65043
49.8767,8.65041
49.8769,8.65037
49.8769,8.65036
49.8769,8.65029
49.8766,8.65025
49.8765,8.65023
49.8765,8.65023
49.8763,8.65021
49.8762,8.65016
49.8762,8.65009
49.8761,8.65004
49.876,8.64981
49.8704,8.63317
49.8705,8.63315
49.8706,8.63312
49.8707,8.63303
49.8705,8.63306
49.8704,8.63307
49.8704,8.63307
49.8704,8.63307
49.8703,8.63306
49.8703,8.63306
49.8703,8.63325
49.8703,8.63322
49.8703,8.63321
49.8704,8.63321
49.8704,8.6332
49.8704,8.63319
49.8704,8.63317
49.8787,8.65051
49.8787,8.65047
49.8696,8.63328
49.8696,8.63344
49.8696,8.63352
49.8536,8.64322
49.8537,8.64327
49.8761,8.64097
49.876,8.64064
49.8174,8.64416
49.8174,8.64399
49.8171,8.64217
49.817,8.64112
49.8169,8.64058
49.8169,8.64056
49.8169,8.64054
49.8168,8.63975
49.8166,8.63807
49.8164,8.63656
49.8164,8.6363
49.8156,8.63039
49.8156,8.6303
49.8155,8.63018
49.8123,8.64453
49.8123,8.64473
49.8122,8.64504
49.8121,8.64554
49.8121,8.64587
49.8121,8.64617
49.8121,8.64619
49.8137,8.64637
49.8136,8.64639
49.8136,8.64639
49.8135,8.64639
49.8132,8.64636
49.8125,8.64627
49.8121,8.64619
49.901,8.65384
49.9009,8.6539
49.9009,8.65395
49.9007,8.65411
49.9006,8.65426
49.9166,8.60955
49.9158,8.61012
49.9014,8.6174
49.9009,8.61767
49.9058,8.64344
49.9058,8.64401
49.9057,8.64467
49.8683,8.63381
49.8681,8.6339
49.8681,8.63395
49.8674,8.63447
49.8679,8.63423
49.8679,8.63421
49.868,8.63416
49.8681,8.63408
49.8682,8.63402
49.8934,8.6105
49.8933,8.61099
49.8933,8.61103
49.8933,8.6112
49.8934,8.61139
49.8956,8.61437
49.8957,8.6145
49.8959,8.6145
49.8959,8.61444
49.8961,8.6138
49.8961,8.6138
49.8965,8.61216
49.8966,8.61189
49.8968,8.61115
49.8883,8.61945
49.888,8.62006
49.895,8.60851
49.8949,8.60843
49.8949,8.60841
49.8948,8.6084
49.8948,8.60839
49.8948,8.60839
49.8947,8.60841
49.8947,8.60841
49.8946,8.60843
49.8946,8.60848
49.8945,8.60855
49.8944,8.60869
49.8938,8.6097
49.8936,8.61006
49.8934,8.6105
49.8931,8.61098
49.8932,8.61106
49.8934,8.61139
49.8934,8.61139
49.8937,8.61179
49.8938,8.61185
49.8938,8.61192
49.8948,8.61326
49.8956,8.61437
49.8677,8.62074
49.8675,8.6204
49.8675,8.62026
49.8674,8.62017
49.8677,8.62074
49.8679,8.62104
49.868,8.62115
49.8758,8.616
49.8757,8.61592
49.8756,8.61591
49.8753,8.61599
49.8744,8.61647
49.8735,8.61688
49.871,8.61813
49.8896,8.65267
49.8896,8.65279
49.8896,8.65283
49.8896,8.65295
49.8964,8.6203
49.8965,8.62043
49.8991,8.61887
49.8991,8.61889
49.8989,8.61897
49.8988,8.61906
49.9009,8.61767
49.9003,8.61807
49.8997,8.61849
49.8992,8.61879
49.8991,8.61887
49.8759,8.6493
49.8759,8.64945
49.8758,8.64957
49.8757,8.6497
49.876,8.64977
49.8759,8.64975
49.8688,8.61906
49.8689,8.61903
49.8698,8.61869
49.8705,8.6184
49.868,8.61929
49.8688,8.61906
49.8781,8.66128
49.8781,8.66138
49.8781,8.66143
49.8781,8.66149
49.8781,8.66157
49.8782,8.66172
49.9057,8.64467
49.9057,8.64485
49.9056,8.6452
49.9055,8.64577
49.9054,8.64617
49.9054,8.64651
49.9053,8.64687
49.9053,8.6469
49.8553,8.63748
49.8554,8.63737
49.8554,8.63727
49.8555,8.63719
49.8555,8.63711
49.8556,8.63706
49.8557,8.63697
49.8557,8.63694
49.8588,8.63474
49.8587,8.63443
49.9208,8.60645
49.9203,8.60696
49.9091,8.61398
49.9078,8.61449
49.9062,8.61515
49.9046,8.6158
49.9039,8.6161
49.9024,8.61688
49.9018,8.61717
49.8929,8.61147
49.893,8.61126
49.8931,8.61122
49.8932,8.61122
49.8933,8.61128
49.8934,8.61139
49.8968,8.61052
49.8965,8.61018
49.8963,8.60999
49.8961,8.60972
49.8958,8.60943
49.8957,8.60934
49.8957,8.60929
49.8956,8.60916
49.8952,8.60871
49.895,8.60851
49.8753,8.62801
49.8751,8.63027
49.8923,8.65333
49.8921,8.65328
49.8919,8.65323
49.8919,8.65341
49.8923,8.65351
49.8923,8.65351
49.893,8.65365
49.8936,8.65378
49.8937,8.6538
49.8939,8.65384
49.8212,8.69993
49.82,8.69814
49.8595,8.64457
49.8595,8.64465
49.8829,8.66019
49.8829,8.66018
49.8828,8.66018
49.8828,8.66018
49.9053,8.64727
49.9054,8.64725
49.9054,8.64718
49.9054,8.6471
49.9054,8.64696
49.9053,8.6469
49.9053,8.64691
49.9052,8.64697
49.9052,8.64709
49.9052,8.64717
49.9052,8.64724
49.9053,8.64727
49.9053,8.64727
49.9053,8.64735
49.9052,8.64784
49.9051,8.6481
49.9051,8.64829
49.9049,8.64844
49.9047,8.64856
49.9034,8.64876
49.9029,8.64883
49.9025,8.64889
49.9022,8.64895
49.902,8.64907
49.9019,8.64931
49.9018,8.64959
49.9017,8.64993
49.9015,8.65302
49.9014,8.65317
49.9014,8.65331
49.9013,8.65343
49.9012,8.65356
49.9012,8.65363
49.901,8.65384
49.9118,8.61284
49.9117,8.61287
49.9117,8.61287
49.9117,8.61291
49.8435,8.64593
49.8433,8.64591
49.8433,8.64591
49.8423,8.64582
49.8093,8.64305
49.8103,8.64353
49.8105,8.64363
49.8114,8.64407
49.8223,8.64427
49.8213,8.6442
49.8469,8.61532
49.8472,8.61574
49.8178,8.64437
49.8177,8.64436
49.8175,8.64418
49.8174,8.64416
49.8754,8.67059
49.8754,8.67061
49.8755,8.67066
49.8755,8.6707
49.8756,8.6708
49.8756,8.67084
49.8388,8.64551
49.8386,8.6455
49.8386,8.6455
49.835,8.64524
49.812,8.64433
49.8121,8.6444
49.8123,8.64453
49.8145,8.64576
49.8144,8.6459
49.8144,8.64593
49.8143,8.64603
49.8142,8.64607
49.8141,8.6462
49.8139,8.64632
49.8465,8.61467
49.8469,8.61532
49.8882,8.64277
49.8882,8.64219
49.8882,8.63994
49.8781,8.66128
49.8779,8.66129
49.8693,8.65637
49.8694,8.65647
49.8694,8.65649
49.8759,8.64975
49.8759,8.65022
49.8759,8.65026
49.876,8.65049
49.876,8.65053
49.876,8.65053
49.876,8.65057
49.8793,8.67045
49.8794,8.67074
49.853,8.64653
49.8531,8.64657
49.8531,8.64658
49.8532,8.6466
49.8533,8.64664
49.8223,8.64427
49.8226,8.64437
49.8232,8.64442
49.8238,8.64444
49.8239,8.64443
49.8882,8.64277
49.8882,8.64332
49.8882,8.63295
49.8882,8.63309
49.8882,8.63365
49.8123,8.6179
49.8122,8.61777
49.8122,8.61777
49.8122,8.61771
49.8115,8.61663
49.8112,8.61614
49.8105,8.61513
49.81,8.61435
49.8099,8.61419
49.8098,8.61404
49.8096,8.61382
49.8095,8.61362
49.8085,8.61261
49.8882,8.63528
49.8882,8.63426
49.8125,8.61814
49.8123,8.6179
49.8829,8.66019
49.8829,8.6603
49.8829,8.66038
49.8829,8.66047
49.8828,8.6606
49.8824,8.66284
49.882,8.66423
49.814,8.62025
49.8139,8.62019
49.8138,8.62009
49.8136,8.61991
49.8134,8.61952
49.8133,8.61941
49.8129,8.61874
49.8127,8.61841
49.8125,8.61814
49.8753,8.62775
49.8753,8.62798
49.8753,8.62801
49.8757,8.61998
49.8757,8.62006
49.8757,8.62025
49.8756,8.62186
49.8756,8.62302
49.8755,8.62393
49.8755,8.6241
49.8754,8.62514
49.8753,8.62743
49.8753,8.62748
49.8753,8.62775
49.8759,8.6176
49.8759,8.61793
49.8758,8.61878
49.8758,8.61961
49.8758,8.61983
49.8757,8.61994
49.8757,8.61998
49.891,8.69716
49.8913,8.69779
49.8916,8.69841
49.8918,8.6988
49.892,8.69927
